Course Enrolment ID,FirstName,LastName,LearnerNumber,Email,CourseOffer Description,CourseOffer Code,StartDate,EndDate,EnrolmentStatus,EnrolmentStatusReason,StudyMode
10001,John,Doe,STU0001,john.doe@example.com,Certificate in Sample Studies,CS101,01/01/2025,12/31/2025,Current,,Full Time
10002,Jane,Smith,STU0002,jane.smith@example.com,Diploma of Example Science,DS202,02/01/2025,11/30/2025,Withdrawn,Personal Reasons,Part Time
10003,Alex,Johnson,STU0003,alex.johnson@example.com,Advanced Diploma of Testing,AD303,03/01/2025,10/31/2025,Current,,Full Time
10004,Emily,Williams,STU0004,emily.williams@example.com,Graduate Diploma of Demo,GD404,04/01/2025,09/30/2025,Pending,,Part Time
10005,Michael,Brown,STU0005,michael.brown@example.com,Certificate in Sample Studies,CS101,01/01/2025,12/31/2025,Current,,Full Time
10006,Sarah,Jones,STU0006,sarah.jones@example.com,Diploma of Example Science,DS202,02/01/2025,11/30/2025,Current,,Part Time
10007,David,Miller,STU0007,david.miller@example.com,Advanced Diploma of Testing,AD303,03/01/2025,10/31/2025,Withdrawn,Other,Full Time
10008,Linda,Davis,STU0008,linda.davis@example.com,Graduate Diploma of Demo,GD404,04/01/2025,09/30/2025,Current,,Part Time
10009,Chris,Wilson,STU0009,chris.wilson@example.com,Certificate in Sample Studies,CS101,01/01/2025,12/31/2025,Current,,Full Time
10010,Patricia,Moore,STU0010,patricia.moore@example.com,Diploma of Example Science,DS202,02/01/2025,11/30/2025,Current,,Part
